,Train_90%_base,test_%10_base,Train_%90_after_choosing,Test_%10_after_choosing,,,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0,0.964601538,0.842782016,0.968625361,0.812625935,,,600,5,1,sqrt,67,FALSE
1,0.963228166,0.833703063,0.968706996,0.81339371,,,700,5,1,sqrt,52,FALSE
2,0.96366259,0.839456732,0.968593917,0.814791921,,,800,5,1,sqrt,138,FALSE
3,0.963690755,0.837934372,0.968666668,0.817524946,,,900,5,1,sqrt,72,FALSE
4,0.963929571,0.843977984,0.968613815,0.815267855,,,300,5,1,sqrt,92,FALSE
5,0.964081554,0.835898991,0.96865631,0.81291895,,,400,5,1,sqrt,128,FALSE
6,0.964319859,0.834390742,0.968670786,0.813025567,,,700,5,1,sqrt,57,FALSE
7,0.963444197,0.83759166,0.968702852,0.813270879,,,900,5,1,sqrt,103,FALSE
8,0.963443072,0.83151004,0.96879978,0.814718873,,,400,5,1,sqrt,82,FALSE
9,0.963743336,0.841613517,0.968705179,0.811773671,,,500,5,1,sqrt,31,FALSE
10,0.966300477,0.802032554,0.98113266,0.823477991,,,500,2,1,sqrt,184,FALSE
11,0.966467314,0.797071615,0.981132557,0.82366719,,,900,2,1,sqrt,159,FALSE
12,0.967552788,0.799506392,0.981132948,0.823025556,,,1000,2,1,sqrt,123,FALSE
13,0.966394287,0.809230701,0.981132926,0.818276491,,,500,2,1,sqrt,108,FALSE
14,0.967039257,0.794501743,0.970744199,0.830417242,,,800,5,1,sqrt,143,FALSE
15,0.966896804,0.795396571,0.981132106,0.822325356,,,300,2,1,sqrt,169,FALSE
16,0.967064712,0.806457232,0.970809425,0.83261701,,,400,5,1,sqrt,184,FALSE
17,0.966628018,0.803223117,0.967026911,0.802711216,,,500,2,1,auto,16,TRUE
18,0.967683307,0.811654578,0.981131098,0.82657798,,,300,2,1,sqrt,26,FALSE
19,0.966700802,0.803337342,0.981132999,0.822953697,,,500,2,1,sqrt,113,FALSE
20,0.964227504,0.831116056,0.964060528,0.838186445,,,300,2,1,sqrt,200,TRUE
21,0.964023287,0.839306083,0.96448553,0.835889024,,,800,2,1,sqrt,67,TRUE
22,0.964600226,0.83667531,0.970269674,0.846163983,,,500,5,1,sqrt,52,FALSE
23,0.963974935,0.837612738,0.964411051,0.83875523,,,1000,2,1,sqrt,92,TRUE
24,0.963152812,0.832687921,0.964160005,0.834851847,,,300,2,1,sqrt,194,TRUE
25,0.964059911,0.842331949,0.963818285,0.83676588,,,400,2,1,sqrt,194,TRUE
26,0.963293897,0.838755827,0.96406964,0.840648456,,,600,2,1,sqrt,189,TRUE
27,0.963522971,0.839847898,0.965905188,0.847121709,,,200,2,1,sqrt,11,FALSE
28,0.964121393,0.845705513,0.964390496,0.837559553,,,500,2,1,sqrt,26,TRUE
29,0.965447901,0.847202414,0.964370157,0.843172628,,,800,2,1,sqrt,97,TRUE
30,0.962802023,0.868447635,0.96458104,0.863211968,,,600,2,1,auto,179,TRUE
31,0.963683345,0.860797816,0.953173317,0.859298595,,,800,5,1,auto,118,TRUE
32,0.962975241,0.868838807,0.964470452,0.861953571,,,1000,2,1,auto,46,TRUE
33,0.963853883,0.865236797,0.964480133,0.864154848,,,1000,2,1,auto,159,TRUE
34,0.964372061,0.859322319,0.96804427,0.856232466,,,800,5,1,sqrt,16,FALSE
35,0.963102337,0.868275656,0.953028682,0.862485836,,,100,5,1,auto,82,TRUE
36,0.963600186,0.865624122,0.964768419,0.867028205,,,700,2,1,auto,164,TRUE
37,0.962597709,0.855733455,0.963972533,0.86401697,,,300,2,1,auto,154,TRUE
38,0.96298239,0.863871111,0.953301076,0.858507991,,,900,5,1,auto,138,TRUE
39,0.964338627,0.855146646,0.964626826,0.862218297,,,800,2,1,auto,194,TRUE
40,0.964957835,0.894778466,0.969717937,0.902381533,,,900,5,1,sqrt,52,FALSE
41,0.964732509,0.895265916,0.969629902,0.902844765,,,400,5,1,sqrt,194,FALSE
42,0.963673295,0.893866725,0.980320164,0.891959707,,,900,2,1,sqrt,128,FALSE
43,0.963954061,0.892523976,0.969646552,0.901390965,,,200,5,1,sqrt,118,FALSE
44,0.964896236,0.890288108,0.980319999,0.891669099,,,900,2,1,sqrt,169,FALSE
45,0.963979408,0.888125484,0.964717367,0.890609944,,,200,2,1,sqrt,159,TRUE
46,0.963939825,0.895212839,0.969767205,0.902613591,,,900,5,1,sqrt,77,FALSE
47,0.964403473,0.894499978,0.969770717,0.901655841,,,800,5,1,sqrt,184,FALSE
48,0.964352245,0.897190652,0.980319568,0.892152339,,,200,2,1,sqrt,179,FALSE
49,0.963970157,0.893984467,0.969754327,0.902004239,,,900,5,1,sqrt,164,FALSE
50,0.966197758,0.838833174,0.972021959,0.844026307,,,800,5,1,sqrt,200,FALSE
51,0.965598309,0.829270236,0.9718232,0.84476115,,,700,5,1,sqrt,21,FALSE
52,0.96534343,0.832899414,0.971934016,0.844792739,,,600,5,1,sqrt,52,FALSE
53,0.965786422,0.820635976,0.971901327,0.843736244,,,700,5,1,sqrt,169,FALSE
54,0.965735924,0.831232897,0.965951314,0.843975913,,,200,2,1,sqrt,82,TRUE
55,0.96560512,0.837525009,0.971833092,0.842301853,,,900,5,1,sqrt,41,FALSE
56,0.96539888,0.828626936,0.971534669,0.843854065,,,500,5,1,sqrt,16,FALSE
