,Train_90%_base,test_%10_base,Train_%10_after_choosing,Test_%90_after_choosing,,,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
67,0.962015586,0.906905025,0.966389505,0.921045485,,,900,5,1,sqrt,52,FALSE
68,0.962760471,0.906230057,0.966447544,0.920601634,,,700,5,1,sqrt,154,FALSE
69,0.962688471,0.895794378,0.966368386,0.920156965,,,900,5,1,sqrt,154,FALSE
70,0.96361675,0.823108694,0.967991006,0.841622237,,,200,5,1,sqrt,189,FALSE
71,0.964267859,0.830354341,0.978948267,0.831941737,,,600,2,1,sqrt,21,FALSE
72,0.963449279,0.833055258,0.978954274,0.818221921,,,100,2,1,sqrt,200,FALSE
73,0.964037262,0.827946844,0.978937988,0.829786054,,,500,2,1,sqrt,133,FALSE
74,0.964397601,0.824814508,0.978953545,0.822003511,,,300,2,1,sqrt,138,FALSE
75,0.962904723,0.819054836,0.978951091,0.829901787,,,800,2,1,sqrt,164,FALSE
76,0.9625067,0.821095315,0.978731126,0.83423458,,,600,2,1,sqrt,16,FALSE
77,0.963906621,0.820355074,0.963583482,0.847800543,,,800,2,1,sqrt,11,FALSE
78,0.964256977,0.81714648,0.978949558,0.828433535,,,400,2,1,sqrt,179,FALSE
79,0.963399877,0.828498336,0.978951417,0.830868031,,,400,2,1,sqrt,128,FALSE
80,0.96402773,0.835023,0.969240437,0.839974483,,,400,5,1,sqrt,97,FALSE
81,0.964400351,0.838857457,0.969343179,0.83942058,,,300,5,1,sqrt,97,FALSE
82,0.963973385,0.829663911,0.969349778,0.840264576,,,800,5,1,sqrt,113,FALSE
83,0.96476172,0.828842414,0.969304151,0.835764163,,,200,5,1,sqrt,92,FALSE
84,0.964181542,0.836523004,0.969301531,0.836287998,,,600,5,1,sqrt,57,FALSE
85,0.965174089,0.833852471,0.969192721,0.837605253,,,500,5,1,sqrt,72,FALSE
86,0.96436965,0.831544272,0.969601539,0.838532669,,,100,5,1,sqrt,92,FALSE
87,0.964343678,0.835008702,0.96935439,0.839010402,,,700,5,1,sqrt,108,FALSE
88,0.964953717,0.841187934,0.969325677,0.838761961,,,900,5,1,sqrt,128,FALSE
89,0.964109492,0.833468453,0.969269337,0.836293118,,,800,5,1,sqrt,57,FALSE
