,Train_90%_base,test_%10_base,Train_%90_after_choosing,Test_%10_after_choosing,,,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
67,0.964238123,0.914139228,0.965345186,0.921620642,,,300,5,1,sqrt,87,FALSE
68,0.964450725,0.917729437,0.96550208,0.918638162,,,100,5,1,sqrt,118,FALSE
69,0.963425104,0.914426513,0.965403714,0.921713835,,,600,5,1,sqrt,128,FALSE
70,0.965102459,0.827061523,0.978065761,0.854865746,,,500,2,1,sqrt,16,FALSE
71,0.964869936,0.833579508,0.978955466,0.842310496,,,1000,2,1,sqrt,200,FALSE
72,0.964364342,0.818678398,0.978955493,0.839146233,,,800,2,1,sqrt,67,FALSE
73,0.966350881,0.835795924,0.978955449,0.837494626,,,500,2,1,sqrt,57,FALSE
74,0.965347745,0.831418238,0.978102314,0.849254413,,,800,2,1,sqrt,16,FALSE
75,0.965621451,0.836282661,0.978955436,0.840333263,,,500,2,1,sqrt,148,FALSE
76,0.965511959,0.810297925,0.978955289,0.834840697,,,300,2,1,sqrt,164,FALSE
77,0.966172184,0.836336758,0.978955309,0.842315875,,,300,2,1,sqrt,164,FALSE
78,0.965725209,0.84012856,0.978955458,0.839307185,,,600,2,1,sqrt,41,FALSE
79,0.965871375,0.824102063,0.978955357,0.843004676,,,700,2,1,sqrt,143,FALSE
80,0.966091074,0.836803915,0.968509704,0.845770452,,,700,5,1,sqrt,184,FALSE
81,0.965568287,0.857968735,0.968514914,0.844067834,,,500,5,1,sqrt,113,FALSE
82,0.964880818,0.85068923,0.968135786,0.842331945,,,100,5,1,sqrt,41,FALSE
83,0.965334668,0.855766822,0.968495435,0.843089038,,,700,5,1,sqrt,52,FALSE
84,0.966309005,0.857666641,0.968689052,0.84622974,,,500,5,1,sqrt,164,FALSE
85,0.9656929,0.852768363,0.968452128,0.845083493,,,900,5,1,sqrt,113,FALSE
86,0.964721116,0.846043038,0.959971923,0.850156089,,,200,2,2,sqrt,92,FALSE
87,0.965631868,0.851223081,0.968727127,0.846071783,,,600,5,1,sqrt,174,FALSE
88,0.966776772,0.85282979,0.968638831,0.845940559,,,600,5,1,sqrt,26,FALSE
89,0.96464828,0.847816709,0.968575962,0.84457019,,,800,5,1,sqrt,92,FALSE
,,,,,,,,,,,,
average score,,0.84913652,,0.866219486,,,,,,,,
